#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"E. Nypels";"D66";"L.M. d. Beer";"VVD";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"P.A. Lankhorst";"PPR";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"A.H.D. Wagenaar";"RPF";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"G.J. Schutte";"GPV";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"B.J. v.d. Vlies";"SGP";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"H. v. Rossum";"SGP";"J.D. Blaauw";"VVD";"1980.10.27";"http://polidocs.nl/XML/MOT/1967390.xml"
"H. v. Rossum";"SGP";"H. Eversdijk";"CDA";"1980.10.27";"http://polidocs.nl/XML/MOT/1967390.xml"
"A. Slob";"CU";"B.J. v.d. Vlies";"SGP";"2003.04.17";"http://polidocs.nl/XML/MOT/2029792.xml"
"L.C. v. Dijke";"RPF";"P. Rosenmöller";"GL";"1994.09.01";"http://polidocs.nl/XML/MOT/1862216.xml"
"L.C. v. Dijke";"RPF";"B.J. v.d. Vlies";"SGP";"1994.09.01";"http://polidocs.nl/XML/MOT/1862216.xml"
"J.A. Jorritsma-v. Oosten";"D66";"F.C. Giskes";"D66";"1995.10.11";"http://polidocs.nl/XML/MOT/1855198.xml"
"H. Hartmeijer";"PvdA";"E.K. Wessel-Tuinstra";"D66";"1980.05.13";"http://polidocs.nl/XML/MOT/1994729.xml"
"Ch. Mertens";"D66";"N.J. Ginjaar-Maas";"VVD";"1978.10.23";"http://polidocs.nl/XML/MOT/1987183.xml"
"P.R.H.M. v.d. Linden";"CDA";"M.A.M. Wöltgens";"PvdA";"1978.11.23";"http://polidocs.nl/XML/MOT/1987984.xml"
"P.R.H.M. v.d. Linden";"CDA";"F. Portheine";"VVD";"1978.11.23";"http://polidocs.nl/XML/MOT/1987984.xml"
"P.R.H.M. v.d. Linden";"CDA";"B. Beumer";"CDA";"1978.11.23";"http://polidocs.nl/XML/MOT/1987984.xml"
"P.R.H.M. v.d. Linden";"CDA";"J. v. Houwelingen";"CDA";"1978.11.23";"http://polidocs.nl/XML/MOT/1987984.xml"
"P.R.H.M. v.d. Linden";"CDA";"W.G. Bremen";"CDA";"1978.11.23";"http://polidocs.nl/XML/MOT/1987984.xml"
"S. v. Heemskerck Pillis-Duvekot";"VVD";"M. Beinema";"CDA";"1997.06.25";"http://polidocs.nl/XML/MOT/1839096.xml"
"S. v. Heemskerck Pillis-Duvekot";"VVD";"D.J. Stellingwerf";"RPF";"1997.06.25";"http://polidocs.nl/XML/MOT/1839096.xml"
"S. v. Heemskerck Pillis-Duvekot";"VVD";"B.J. v.d. Vlies";"SGP";"1997.06.25";"http://polidocs.nl/XML/MOT/1839096.xml"
"S. v. Heemskerck Pillis-Duvekot";"VVD";"G.J. Schutte";"GPV";"1997.06.25";"http://polidocs.nl/XML/MOT/1839096.xml"
"S. v. Heemskerck Pillis-Duvekot";"VVD";"M.M. v. Zuijlen";"PvdA";"1997.06.25";"http://polidocs.nl/XML/MOT/1839096.xml"
"R.H. Oudkerk";"PvdA";"S. v. Vliet";"D66";"2000.11.27";"http://polidocs.nl/XML/MOT/1805167.xml"
"R.H. Oudkerk";"PvdA";"A.M. v. Blerck-Woerdman";"VVD";"2000.11.27";"http://polidocs.nl/XML/MOT/1805167.xml"
"R.H. Oudkerk";"PvdA";"S. Buijs";"CDA";"2000.11.27";"http://polidocs.nl/XML/MOT/1805167.xml"
"G.J. Schutte";"GPV";"S. Faber";"CDA";"1984.06.21";"http://polidocs.nl/XML/MOT/1960867.xml"
"G.J. Schutte";"GPV";"J.G.M. Alders";"PvdA";"1984.06.21";"http://polidocs.nl/XML/MOT/1960867.xml"
"G.J. Schutte";"GPV";"E.K. Wessel-Tuinstra";"D66";"1984.06.21";"http://polidocs.nl/XML/MOT/1960867.xml"
"G.J. Schutte";"GPV";"P.A. Lankhorst";"PPR";"1984.06.21";"http://polidocs.nl/XML/MOT/1960867.xml"
"G.J. Schutte";"GPV";"M. Ernsting";"CPN";"1984.06.21";"http://polidocs.nl/XML/MOT/1960867.xml"
"O.F. Stuger";"LPF";"A.J. t. Veldhuis";"VVD";"2002.10.16";"http://polidocs.nl/XML/MOT/2021260.xml"
"O.F. Stuger";"LPF";"J.W.E. Spies";"CDA";"2002.10.16";"http://polidocs.nl/XML/MOT/2021260.xml"
"O. Cherribi";"VVD";"M. Wagenaar";"PvdA";"1999.09.16";"http://polidocs.nl/XML/MOT/1831529.xml"
"O. Cherribi";"VVD";"M.J. Augusteijn-Esser";"D66";"1999.09.16";"http://polidocs.nl/XML/MOT/1831529.xml"
"O. Cherribi";"VVD";"C.C.M. Vendrik";"GL";"1999.09.16";"http://polidocs.nl/XML/MOT/1831529.xml"
"O. Cherribi";"VVD";"J.G. Wijn";"CDA";"1999.09.16";"http://polidocs.nl/XML/MOT/1831529.xml"
"A. Slob";"CU";"E.D.C.M. Lambrechts";"D66";"2005.02.08";"http://polidocs.nl/XML/MOT/2055945.xml"
"A. Slob";"CU";"M. Kraneveldt";"LPF";"2005.02.08";"http://polidocs.nl/XML/MOT/2055945.xml"
"A. Slob";"CU";"A.M.C. Eijsink";"PvdA";"2005.02.08";"http://polidocs.nl/XML/MOT/2055945.xml"
"A. Slob";"CU";"B.J. v.d. Vlies";"SGP";"2005.02.08";"http://polidocs.nl/XML/MOT/2055945.xml"
"A. Slob";"CU";"N. Azough";"GL";"2005.02.08";"http://polidocs.nl/XML/MOT/2055945.xml"
"A.L. t. Beek";"PvdA";"M.B. Engwirda";"D66";"1986.12.10";"http://polidocs.nl/XML/MOT/1907893.xml"
"W. v.d. Brink";"LPF";"G.J. Oplaat";"VVD";"2003.10.30";"http://polidocs.nl/XML/MOT/2035119.xml"
"W. v.d. Brink";"LPF";"G.P.J. Koopmans";"CDA";"2003.10.30";"http://polidocs.nl/XML/MOT/2035119.xml"
"P.H. Hofstra";"VVD";"J.J. Mastwijk";"CDA";"2003.12.15";"http://polidocs.nl/XML/MOT/2038816.xml"
"P.H. Hofstra";"VVD";"M.J.L.M. Hermans";"LPF";"2003.12.15";"http://polidocs.nl/XML/MOT/2038816.xml"
"G. Verburg";"CDA";"B.O. Dittrich";"D66";"2003.11.18";"http://polidocs.nl/XML/MOT/2037119.xml"
"G. Verburg";"CDA";"C.B. Aptroot";"VVD";"2003.11.18";"http://polidocs.nl/XML/MOT/2037119.xml"
"J. Franssen";"VVD";"G.A.Q. Niessen";"PvdA";"1991.05.14";"http://polidocs.nl/XML/MOT/1878315.xml"
"J. Franssen";"VVD";"M. Beinema";"CDA";"1991.05.14";"http://polidocs.nl/XML/MOT/1878315.xml"
"J. Franssen";"VVD";"A. Nuis";"D66";"1991.05.14";"http://polidocs.nl/XML/MOT/1878315.xml"
"J. Franssen";"VVD";"E. v. Middelkoop";"GPV";"1991.05.14";"http://polidocs.nl/XML/MOT/1878315.xml"
"W.A. d. Pree";"PvdA";"J.L.N. Schaefer";"PvdA";"1986.12.17";"http://polidocs.nl/XML/MOT/1907856.xml"
"G. Verburg";"CDA";"B.M. d. Vries";"VVD";"2004.07.01";"http://polidocs.nl/XML/MOT/2045956.xml"
"G. Verburg";"CDA";"B.O. Dittrich";"D66";"2004.07.01";"http://polidocs.nl/XML/MOT/2045956.xml"
"E.D.C.M. Lambrechts";"D66";"J.M.A.M. d. Wit";"SP";"2004.10.27";"http://polidocs.nl/XML/MOT/2049312.xml"
"E.D.C.M. Lambrechts";"D66";"M.B. Vos";"GL";"2004.10.27";"http://polidocs.nl/XML/MOT/2049312.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"J.S.J. Hillen";"CDA";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"A.H. Korthals";"VVD";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"B.O. Dittrich";"D66";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"L. Sipkes";"GL";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"L.E.C. Boogaard";"GrNij";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"L.C. v. Dijke";"RPF";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"G.J. Schutte";"GPV";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"B.J. v.d. Vlies";"SGP";"1996.06.13";"http://polidocs.nl/XML/MOT/1858283.xml"
"A. Apostolou";"PvdA";"P.A.L. Mulder-v. Dam";"CDA";"1993.11.29";"http://polidocs.nl/XML/MOT/1864368.xml"
"A. Apostolou";"PvdA";"H.F. Dijkstal";"VVD";"1993.11.29";"http://polidocs.nl/XML/MOT/1864368.xml"
"A. Apostolou";"PvdA";"L.S. Groenman";"D66";"1993.11.29";"http://polidocs.nl/XML/MOT/1864368.xml"
"M. Bussemaker";"PvdA";"A.J. Schimmel";"D66";"2001.03.15";"http://polidocs.nl/XML/MOT/1809988.xml"
"M. Bussemaker";"PvdA";"W. v. Gent";"GL";"2001.03.15";"http://polidocs.nl/XML/MOT/1809988.xml"
"G.A.Q. Niessen";"PvdA";"A. Nuis";"D66";"1988.10.10";"http://polidocs.nl/XML/MOT/1897105.xml"
"I. Dezentjé Hamming";"VVD";"F. Koser Kaya";"D66";"2007.12.13";"http://polidocs.nl/XML/MOT/6224320.xml"
"W.C.G. Voûte-Droste";"VVD";"F.J.M. Crone";"PvdA";"2001.04.03";"http://polidocs.nl/XML/MOT/1809408.xml"
"W.C.G. Voûte-Droste";"VVD";"J. v. Walsem";"D66";"2001.04.03";"http://polidocs.nl/XML/MOT/1809408.xml"
"E.D.C.M. Lambrechts";"D66";"J.P. Rehwinkel";"PvdA";"1998.11.19";"http://polidocs.nl/XML/MOT/1826195.xml"
"E.D.C.M. Lambrechts";"D66";"B.M. d. Vries";"VVD";"1998.11.19";"http://polidocs.nl/XML/MOT/1826195.xml"
"C. Poppe";"PvdA";"B. Spieker";"PvdA";"1983.06.29";"http://polidocs.nl/XML/MOT/1946785.xml"
"J. t. Hoopen";"CDA";"P.H. Hofstra";"VVD";"1996.11.05";"http://polidocs.nl/XML/MOT/1845711.xml"
"J. t. Hoopen";"CDA";"J.F. Jeekel";"D66";"1996.11.05";"http://polidocs.nl/XML/MOT/1845711.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"I. Brouwer";"CPN";"1985.04.29";"http://polidocs.nl/XML/MOT/1919518.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"W.J. Willems";"PSP";"1985.04.29";"http://polidocs.nl/XML/MOT/1919518.xml"
"E. v. Middelkoop";"GPV";"J. t. Hoopen";"CDA";"1997.11.06";"http://polidocs.nl/XML/MOT/1834303.xml"
"E. v. Middelkoop";"GPV";"L.C. v. Dijke";"RPF";"1997.11.06";"http://polidocs.nl/XML/MOT/1834303.xml"
"E. v. Middelkoop";"GPV";"B.J. v.d. Vlies";"SGP";"1997.11.06";"http://polidocs.nl/XML/MOT/1834303.xml"
"E. v. Middelkoop";"GPV";"M.B. Vos";"GL";"1997.11.06";"http://polidocs.nl/XML/MOT/1834303.xml"
"J.G.C. Wiebenga";"VVD";"A.J. Kaland";"CDA";"1980.04.22";"http://polidocs.nl/XML/MOT/2001945.xml"
"J.G.C. Wiebenga";"VVD";"F.M. Feij";"VVD";"1980.04.22";"http://polidocs.nl/XML/MOT/2001945.xml"
"J.G.C. Wiebenga";"VVD";"H.B.P.A. Letschert";"CDA";"1980.04.22";"http://polidocs.nl/XML/MOT/2001945.xml"
"J.G.C. Wiebenga";"VVD";"H. Heijne Makkreel";"VVD";"1980.04.22";"http://polidocs.nl/XML/MOT/2001945.xml"
"G.J.P. v. Otterloo";"PvdA";"K. Tuinstra";"CDA";"1993.11.09";"http://polidocs.nl/XML/MOT/1881735.xml"
"G.J.P. v. Otterloo";"PvdA";"A.M. Vliegenthart";"PvdA";"1993.11.09";"http://polidocs.nl/XML/MOT/1881735.xml"
"G.J.P. v. Otterloo";"PvdA";"F.J. v.d. Heijden";"CDA";"1993.11.09";"http://polidocs.nl/XML/MOT/1881735.xml"
"H.J. Schartman";"CDA";"A.A.M.E. v. Erp";"VVD";"1983.10.24";"http://polidocs.nl/XML/MOT/1937751.xml"
"M. Bussemaker";"PvdA";"H.M.F. Bruls";"CDA";"2004.12.16";"http://polidocs.nl/XML/MOT/2053073.xml"
"M. Bussemaker";"PvdA";"F.H.H. Weekers";"VVD";"2004.12.16";"http://polidocs.nl/XML/MOT/2053073.xml"
"M. Bussemaker";"PvdA";"W. v. Gent";"GL";"2004.12.16";"http://polidocs.nl/XML/MOT/2053073.xml"
"M. Bussemaker";"PvdA";"J.M.A.M. d. Wit";"SP";"2004.12.16";"http://polidocs.nl/XML/MOT/2053073.xml"
"P.B. Boorsma";"CDA";"A. Postma";"CDA";"1993.06.08";"http://polidocs.nl/XML/MOT/1868023.xml"
"P.B. Boorsma";"CDA";"G.J.J. Schinck";"PvdA";"1993.06.08";"http://polidocs.nl/XML/MOT/1868023.xml"
"P.B. Boorsma";"CDA";"J.J. Vis";"D66";"1993.06.08";"http://polidocs.nl/XML/MOT/1868023.xml"
"P.B. Boorsma";"CDA";"J.A. v. Graafeiland";"VVD";"1993.06.08";"http://polidocs.nl/XML/MOT/1868023.xml"
"P.B. Boorsma";"CDA";"W.T. d. Boer";"GL";"1993.06.08";"http://polidocs.nl/XML/MOT/1868023.xml"
"P.B. Boorsma";"CDA";"H.G. Barendregt";"SGP";"1993.06.08";"http://polidocs.nl/XML/MOT/1868023.xml"
"L.P.M. Spoelman";"PvdA";"S. Buijs";"CDA";"2002.03.18";"http://polidocs.nl/XML/MOT/2016018.xml"
"L.P.M. Spoelman";"PvdA";"A.C. Kant";"SP";"2002.03.18";"http://polidocs.nl/XML/MOT/2016018.xml"
"L.P.M. Spoelman";"PvdA";"C. Hermann";"GL";"2002.03.18";"http://polidocs.nl/XML/MOT/2016018.xml"
"L.P.M. Spoelman";"PvdA";"S. v. Vliet";"D66";"2002.03.18";"http://polidocs.nl/XML/MOT/2016018.xml"
"L.P.M. Spoelman";"PvdA";"B.J. v.d. Vlies";"SGP";"2002.03.18";"http://polidocs.nl/XML/MOT/2016018.xml"
"A.D. Bakker";"D66";"M.C.A. Smilde";"CDA";"2005.12.06";"http://polidocs.nl/XML/MOT/5640236.xml"
"A.D. Bakker";"D66";"E.I. Schippers";"VVD";"2005.12.06";"http://polidocs.nl/XML/MOT/5640236.xml"
"J.T. Hoekema";"D66";"M. v.d. Doel";"VVD";"1995.11.09";"http://polidocs.nl/XML/MOT/1852878.xml"
"G.M.P. Cornelissen";"CDA";"E. Veder-Smit";"VVD";"1976.02.23";"http://polidocs.nl/XML/MOT/2003802.xml"
"G.M.P. Cornelissen";"CDA";"S.C. Weijers";"CDA";"1976.02.23";"http://polidocs.nl/XML/MOT/2003802.xml"
"E.G. Verkerk-Terpstra";"VVD";"D.J.D. Dees";"VVD";"1979.03.26";"http://polidocs.nl/XML/MOT/1984821.xml"
"E.G. Verkerk-Terpstra";"VVD";"F. Borgman";"CDA";"1979.03.26";"http://polidocs.nl/XML/MOT/1984821.xml"
"E.G. Verkerk-Terpstra";"VVD";"E.K. Wessel-Tuinstra";"D66";"1979.03.26";"http://polidocs.nl/XML/MOT/1984821.xml"
"E.G. Verkerk-Terpstra";"VVD";"M.B.C. Beckers-d. Bruijn";"PPR";"1979.03.26";"http://polidocs.nl/XML/MOT/1984821.xml"
"E.G. Verkerk-Terpstra";"VVD";"J.B. Krouwel-Vlam";"PvdA";"1979.03.26";"http://polidocs.nl/XML/MOT/1984821.xml"
"N. Albayrak";"PvdA";"W.G.J.M. v.d. Camp";"CDA";"2002.11.07";"http://polidocs.nl/XML/MOT/2021635.xml"
"N. Albayrak";"PvdA";"F. Halsema";"GL";"2002.11.07";"http://polidocs.nl/XML/MOT/2021635.xml"
"J. Wallage";"PvdA";"D.J.D. Dees";"VVD";"1983.09.22";"http://polidocs.nl/XML/MOT/1945765.xml"
"J. Wallage";"PvdA";"A. Nuis";"D66";"1986.11.19";"http://polidocs.nl/XML/MOT/1945696.xml"
"E.L. Herfkens";"PvdA";"H. Knol";"PvdA";"1983.11.28";"http://polidocs.nl/XML/MOT/1937590.xml"
"J. v. Noord";"CDA";"P.M. Blauw";"VVD";"1990.09.10";"http://polidocs.nl/XML/MOT/1885064.xml"
"A.J. t. Veldhuis";"VVD";"A. Jorritsma-Lebbink";"VVD";"1985.10.09";"http://polidocs.nl/XML/MOT/1963269.xml"
"A.J. t. Veldhuis";"VVD";"R.L.O. Linschoten";"VVD";"1985.10.09";"http://polidocs.nl/XML/MOT/1963269.xml"
"J. v. Noord";"CDA";"W. Swildens-Rozendaal";"PvdA";"1990.05.17";"http://polidocs.nl/XML/MOT/1898016.xml"
"J.H. Simons";"PvdA";"J.H. Zoon";"PvdA";"1979.12.19";"http://polidocs.nl/XML/MOT/1977789.xml"
"J.H. Simons";"PvdA";"J.H.B. v.d. Meer";"PvdA";"1979.12.19";"http://polidocs.nl/XML/MOT/1977789.xml"
"J.H. Simons";"PvdA";"F.H.P. Trip";"PPR";"1979.12.19";"http://polidocs.nl/XML/MOT/1977789.xml"
"J.H. Simons";"PvdA";"J.B. Broeksz";"PvdA";"1979.12.19";"http://polidocs.nl/XML/MOT/1977789.xml"
"J.H. Simons";"PvdA";"Th.A.M. v. Kleef";"PPR";"1979.12.19";"http://polidocs.nl/XML/MOT/1977789.xml"
"M.B. Vos";"GL";"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"1998.04.01";"http://polidocs.nl/XML/MOT/1829368.xml"
"J.M.A.M. d. Wit";"SP";"F. Halsema";"GL";"2002.12.11";"http://polidocs.nl/XML/MOT/2027387.xml"
"H.F. Dijkstal";"VVD";"M. Beinema";"CDA";"1990.02.12";"http://polidocs.nl/XML/MOT/1888086.xml"
"H.F. Dijkstal";"VVD";"J. v. Nieuwenhoven";"PvdA";"1990.02.12";"http://polidocs.nl/XML/MOT/1888086.xml"
"H.F. Dijkstal";"VVD";"A. Nuis";"D66";"1990.02.12";"http://polidocs.nl/XML/MOT/1888086.xml"
"H.F. Dijkstal";"VVD";"A.C. v. Es";"GL";"1990.02.12";"http://polidocs.nl/XML/MOT/1888086.xml"
"H.F. Dijkstal";"VVD";"E. v. Middelkoop";"GPV";"1990.02.12";"http://polidocs.nl/XML/MOT/1888086.xml"
"J.D. d. Voogd";"VVD";"G.W. Keja";"VVD";"1980.11.13";"http://polidocs.nl/XML/MOT/1967891.xml"
"J.D. d. Voogd";"VVD";"E.H.T.M. Nijpels";"VVD";"1980.11.13";"http://polidocs.nl/XML/MOT/1967891.xml"
"J.D. d. Voogd";"VVD";"R.W. d. Korte";"VVD";"1980.11.13";"http://polidocs.nl/XML/MOT/1967891.xml"
"W. Jabaaij";"PvdA";"J.G.C. Wiebenga";"VVD";"1988.11.17";"http://polidocs.nl/XML/MOT/1895417.xml"
"W. Jabaaij";"PvdA";"H.J.B. Aarts";"CDA";"1988.11.17";"http://polidocs.nl/XML/MOT/1895417.xml"
"W. Jabaaij";"PvdA";"A. Nuis";"D66";"1988.11.17";"http://polidocs.nl/XML/MOT/1895417.xml"
"F.J.M. Crone";"PvdA";"A. Rouvoet";"CU";"2006.06.28";"http://polidocs.nl/XML/MOT/5796035.xml"
"D.J. Stellingwerf";"CU";"B.J. v.d. Vlies";"SGP";"2001.12.12";"http://polidocs.nl/XML/MOT/2012957.xml"
"D.J. Stellingwerf";"CU";"R.J.L. Poppe";"SP";"2001.12.12";"http://polidocs.nl/XML/MOT/2012957.xml"
"D.J. Stellingwerf";"CU";"G.J. Oplaat";"VVD";"2001.12.12";"http://polidocs.nl/XML/MOT/2012957.xml"
"D.J. Stellingwerf";"CU";"J.J. Atsma";"CDA";"2001.12.12";"http://polidocs.nl/XML/MOT/2012957.xml"
"G.P.J. Koopmans";"CDA";"G.J. Oplaat";"VVD";"2006.10.30";"http://polidocs.nl/XML/MOT/5887120.xml"
"B.J. v.d. Vlies";"SGP";"M.A.H. Andela-Baur";"CDA";"1984.04.09";"http://polidocs.nl/XML/MOT/1932236.xml"
"N. Azough";"GL";"J. Tichelaar";"PvdA";"2004.11.04";"http://polidocs.nl/XML/MOT/2049721.xml"
"D.J. Stellingwerf";"RPF";"M.B. Vos";"GL";"1999.07.01";"http://polidocs.nl/XML/MOT/1822661.xml"
"A.C. v. Es";"GL";"G.J. Wolffensperger";"D66";"1990.06.21";"http://polidocs.nl/XML/MOT/1884138.xml"
"A. Kosto";"PvdA";"R.M. Haas-Berger";"PvdA";"1984.03.21";"http://polidocs.nl/XML/MOT/1930603.xml"
"A. Kosto";"PvdA";"E.H.C. Salomons";"PvdA";"1984.03.21";"http://polidocs.nl/XML/MOT/1930603.xml"
"J. v. Walsem";"D66";"G.B.M. Leers";"CDA";"1998.10.15";"http://polidocs.nl/XML/MOT/1827670.xml"
"J. v. Walsem";"D66";"M. Rabbae";"GL";"1998.10.15";"http://polidocs.nl/XML/MOT/1827670.xml"
"J. v. Walsem";"D66";"J.T. v.d. Berg";"SGP";"1998.10.15";"http://polidocs.nl/XML/MOT/1827670.xml"
"C.C.M. Vendrik";"GL";"M.I. Hamer";"PvdA";"2003.11.12";"http://polidocs.nl/XML/MOT/2036718.xml"
"F.J.F.M. d. Nerée t. Babberich";"CDA";"F.J.M. Crone";"PvdA";"2006.10.05";"http://polidocs.nl/XML/MOT/5857083.xml"
"F.J.F.M. d. Nerée t. Babberich";"CDA";"A.D. Bakker";"D66";"2006.10.05";"http://polidocs.nl/XML/MOT/5857083.xml"
"F.J.F.M. d. Nerée t. Babberich";"CDA";"B.J. v.d. Vlies";"SGP";"2006.10.05";"http://polidocs.nl/XML/MOT/5857083.xml"
"F.J.F.M. d. Nerée t. Babberich";"CDA";"A. Rouvoet";"CU";"2006.10.05";"http://polidocs.nl/XML/MOT/5857083.xml"
"F.J.F.M. d. Nerée t. Babberich";"CDA";"M.J.L.M. Hermans";"LPF";"2006.10.05";"http://polidocs.nl/XML/MOT/5857083.xml"
"F.J.F.M. d. Nerée t. Babberich";"CDA";"H.F.M. v. Oudenallen";"GVOUD";"2006.10.05";"http://polidocs.nl/XML/MOT/5857083.xml"
"J.W.M.M.J. Hessels";"CDA";"M.H.P. v. Dam";"PvdA";"2008.01.16";"http://polidocs.nl/XML/MOT/6246063.xml"
"D.J.D. Dees";"VVD";"M.M.H. Kamp";"VVD";"1991.06.20";"http://polidocs.nl/XML/MOT/1884223.xml"
"C. Hermann";"GL";"A.C. Kant";"SP";"1998.12.01";"http://polidocs.nl/XML/MOT/1827032.xml"
"M. Epema-Brugman";"PvdA";"J.C.Th. v.d. Doef";"PvdA";"1978.10.31";"http://polidocs.nl/XML/MOT/1994353.xml"
"C.G. v.d. Staaij";"SGP";"C.W.J.M. Roefs";"PvdA";"2006.10.02";"http://polidocs.nl/XML/MOT/5848024.xml"
"J.J. Atsma";"CDA";"H.E. Waalkens";"PvdA";"2007.06.14";"http://polidocs.nl/XML/MOT/6060175.xml"
"J.J. Atsma";"CDA";"J.F. Snijder-Hazelhoff";"VVD";"2007.06.14";"http://polidocs.nl/XML/MOT/6060175.xml"
"J.J. Atsma";"CDA";"B.J. v.d. Vlies";"SGP";"2007.06.14";"http://polidocs.nl/XML/MOT/6060175.xml"
"A.G. Koenders";"PvdA";"F. Karimi";"GL";"2003.12.17";"http://polidocs.nl/XML/MOT/2039270.xml"
"A.G. Koenders";"PvdA";"G. Wilders";"VVD";"2003.12.17";"http://polidocs.nl/XML/MOT/2039270.xml"
"A.G. Koenders";"PvdA";"C.M.P.S. Eurlings";"CDA";"2003.12.17";"http://polidocs.nl/XML/MOT/2039270.xml"
"A. Ploeg";"VVD";"J.D. Blaauw";"VVD";"1979.02.13";"http://polidocs.nl/XML/MOT/1987295.xml"
"S. Langedijk-d. Jong";"PvdA";"M.B.C. Beckers-d. Bruijn";"PPR";"1978.06.26";"http://polidocs.nl/XML/MOT/1996469.xml"
"S. Langedijk-d. Jong";"PvdA";"M.A. Müller-v. Ast";"PvdA";"1978.06.26";"http://polidocs.nl/XML/MOT/1996469.xml"
"S. Langedijk-d. Jong";"PvdA";"H. Knol";"PvdA";"1978.06.26";"http://polidocs.nl/XML/MOT/1996469.xml"
"J. Franssen";"VVD";"E.G. Terpstra";"VVD";"1983.02.22";"http://polidocs.nl/XML/MOT/1953038.xml"
"J. Franssen";"VVD";"A.M. Lucassen-Stauttener";"VVD";"1983.02.22";"http://polidocs.nl/XML/MOT/1953038.xml"
"N.G. v.'t Riet";"D66";"F.J.M. Crone";"PvdA";"1996.02.06";"http://polidocs.nl/XML/MOT/1852623.xml"
"N.G. v.'t Riet";"D66";"D.J. Stellingwerf";"RPF";"1996.02.06";"http://polidocs.nl/XML/MOT/1852623.xml"
"E.W. Anker";"CU";"G.P.J. Koopmans";"CDA";"2007.12.06";"http://polidocs.nl/XML/MOT/6221213.xml"
"E.W. Anker";"CU";"D.M. Samsom";"PvdA";"2007.12.06";"http://polidocs.nl/XML/MOT/6221213.xml"
"A. Stemerdink";"PvdA";"A.L. t. Beek";"PvdA";"1985.05.15";"http://polidocs.nl/XML/MOT/1923480.xml"
"J.L.A. Jansen";"PPR";"E. v. Thijn";"PvdA";"1979.08.30";"http://polidocs.nl/XML/MOT/1982028.xml"
"J.L.A. Jansen";"PPR";"J.J. Lambers-Hacquebard";"D66";"1979.08.30";"http://polidocs.nl/XML/MOT/1982028.xml"
"J.L.A. Jansen";"PPR";"A.G. v.d. Spek";"PSP";"1979.08.30";"http://polidocs.nl/XML/MOT/1982028.xml"
"E. Ouwehand";"PVDD";"M.L. Thieme";"PVDD";"2007.07.05";"http://polidocs.nl/XML/MOT/6081866.xml"
"G.A. Verbeet";"PvdA";"P.H. Omtzigt";"CDA";"2006.09.21";"http://polidocs.nl/XML/MOT/5843249.xml"
"G.A. Verbeet";"PvdA";"H.F.M. v. Oudenallen";"GVOUD";"2006.09.21";"http://polidocs.nl/XML/MOT/5843249.xml"
"G.A. Verbeet";"PvdA";"C.C.M. Vendrik";"GL";"2006.09.21";"http://polidocs.nl/XML/MOT/5843249.xml"
"M. v. Traa";"PvdA";"D.K.J. Tommel";"D66";"1988.11.24";"http://polidocs.nl/XML/MOT/1899407.xml"
"M. v. Traa";"PvdA";"A.C. v. Es";"PSP";"1988.11.24";"http://polidocs.nl/XML/MOT/1899407.xml"
"M.B. Vos";"GL";"D.J. Stellingwerf";"RPF";"1997.10.21";"http://polidocs.nl/XML/MOT/1863306.xml"
"M.B. Vos";"GL";"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"1997.10.21";"http://polidocs.nl/XML/MOT/1863306.xml"
"A.L. t. Beek";"PvdA";"H.J.G. Waltmans";"PPR";"1980.06.26";"http://polidocs.nl/XML/MOT/1975483.xml"
"L.M. d. Beer";"VVD";"H. Eversdijk";"CDA";"1988.05.18";"http://polidocs.nl/XML/MOT/1899114.xml"
"F. Ravestein";"D66";"J.T. v.d. Berg";"SGP";"2001.11.08";"http://polidocs.nl/XML/MOT/2011162.xml"
